License Number,Street Number,Street Name,City,State,Zip Code,Square Footage
709788,644,VANDERBILT AVE               ,BROOKLYN          ,NY,11238,3000
671224,541,NOSTRAND AVE                 ,BROOKLYN          ,NY,11216,1200
703306,740,SUTTER AVE                   ,BROOKLYN          ,NY,11207,800
671867,5922,NEW UTRECHT AVE             ,BROOKLYN          ,NY,11219,3500
703565,353,KNICKERBOCKER AVE            ,BROOKLYN          ,NY,11237,2000
708140,2,REWE ST                        ,BROOKLYN          ,NY,11211,15000
707675,2227,PITKIN AVE                  ,BROOKLYN          ,NY,11207,500
614911,294,GRAHAM AVE                   ,BROOKLYN          ,NY,11211,6000
616244,1682,ST JOHNS PL             ,BROOKLYN          ,NY,11233,18000
711097,4708,7TH AVE                     ,BROOKLYN          ,NY,11220,900
704816,146,RALPH AVE                    ,BROOKLYN          ,NY,11233,2000
714913,108,DOBBIN ST                    ,BROOKLYN          ,NY,11222,2000
710941,4809,8TH AVE                     ,BROOKLYN          ,NY,11220,2000
719566,2160,BERNE ALTAMONT RD       ,KNOX              ,NY,12107,0
703686,77,COMMERCE ST               ,BROOKLYN          ,NY,11231,3000
702019,975,FULTON ST                    ,BROOKLYN          ,NY,11238,2000
670028,777,56TH ST                      ,BROOKLYN          ,NY,11220,800
706788,1701,AVENUE U                    ,BROOKLYN          ,NY,11229,2000
714059,6024,4TH AVE                     ,BROOKLYN          ,NY,11220,1000
710270,711,MANHATTAN AVE                ,BROOKLYN          ,NY,11222,1600
670998,8517,18TH AVE                    ,BROOKLYN          ,NY,11214,2000
706502,8402,18TH AVE                    ,BROOKLYN          ,NY,11214,500
705189,4505,8TH AVE                     ,BROOKLYN          ,NY,11220,1200
707841,1701,UTICA AVE           ,BROOKLYN          ,NY,11234,10000
710548,1802,AVENUE U                    ,BROOKLYN          ,NY,11229,1500
671216,1720,ATLANTIC AVE            ,BROOKLYN          ,NY,11213,0
670475,1701,CHURCH AVE                  ,BROOKLYN          ,NY,11226,8000
708880,2608,E 14TH ST               ,BROOKLYN          ,NY,11235,1000
618545,534,METROPOLITAN AVE             ,BROOKLYN          ,NY,11211,2200
671977,184,KNICKERBOCKER AVE            ,BROOKLYN          ,NY,11237,350
670876,6323,20TH AVE                    ,BROOKLYN          ,NY,11204,1500
671850,1223,GRAVESEND NECK RD           ,BROOKLYN          ,NY,11229,2000
706098,4002,3RD AVE                     ,BROOKLYN          ,NY,11232,1000
671006,616,METROPOLITAN AVE             ,BROOKLYN          ,NY,11211,3000
708239,8317,3RD AVE                     ,BROOKLYN          ,NY,11209,1000
710897,992,JEFFERSON AVE                ,BROOKLYN          ,NY,11221,600
614514,635,FULTON ST                ,BROOKLYN          ,NY,11217,3000
708167,3785,NOSTRAND AVE            ,BROOKLYN          ,NY,11235,18000
708528,200,FLUSHING   38 WASHINGTON ,BROOKLYN          ,NY,11205,1500
715078,185,NORMAN AVE                   ,BROOKLYN          ,NY,11222,1500
707465,1801,PITKIN AVE                  ,BROOKLYN          ,NY,11212,0
713706,62-64,SEABRING ST                ,BROOKLYN          ,NY,11231,37000
705924,1420,AVENUE J                    ,BROOKLYN          ,NY,11230,1000
702909,38,HERZL STREET                  ,BROOKLYN          ,NY,11212,1200
672223,97,W END AVE                     ,BROOKLYN          ,NY,11235,1300
670993,119,GRAHAM AVE                   ,BROOKLYN          ,NY,11206,3000
671961,574,BROADWAY                     ,BROOKLYN          ,NY,11206,1000
711623,589,PROSPECT AVE                 ,BROOKLYN          ,NY,11215,1200
723925,11949,MANNING BLVD           ,ALBANY            ,NY,12208,400
671856,328,STAGG ST                     ,BROOKLYN          ,NY,11206,4000
704488,215,4TH AVE                      ,BROOKLYN          ,NY,11215,1200
671667,8401,15TH AVE                    ,BROOKLYN          ,NY,11228,1500
708169,446,FRANKLIN AVE                 ,BROOKLYN          ,NY,11238,1400
705721,2965,86TH ST                     ,BROOKLYN          ,NY,11223,1000
704676,6623,20TH AVE                    ,BROOKLYN          ,NY,11204,800
672137,2901,AVENUE D                    ,BROOKLYN          ,NY,11226,400
710833,544,HEMLOCK ST                   ,BROOKLYN          ,NY,11208,800
612211,6301,8TH AVE                     ,BROOKLYN          ,NY,11220,22000
708176,766,GRAND ST                     ,BROOKLYN          ,NY,11211,1000
712610,484,KINGS HWY                    ,BROOKLYN          ,NY,11223,1700
702212,613,MADISON ST                   ,BROOKLYN          ,NY,11221,600
704885,794,FLATBUSH AVE                 ,BROOKLYN          ,NY,11226,0
707593,185,VAN DYKE ST                  ,BROOKLYN          ,NY,11231,6000
616111,1036,RUTLAND RD                  ,BROOKLYN          ,NY,11212,5000
672051,679,MYRTLE AVE                   ,BROOKLYN          ,NY,11205,800
670689,2306,CONEY ISLAND AVE            ,BROOKLYN          ,NY,11223,0
