County,Inspection Date,Owner Name,Trade Name,Street,City,State Code,Zip Code,Deficiency Number,Deficiency Description,Location 1
Franklin,06/19/2017,PAK-MAN ENTERPRISES INC,TRADING POST THE,4426 NYS RTE 30 #,LAKE CLEAR,NY,12945,04H,Equipment cleaning or sanitizing facilities inadequate for establishments handling potentially hazardous foods,"4426 NYS RTE
LAKE CLEAR, NY 12945
"
Franklin,06/19/2017,PAK-MAN ENTERPRISES INC,TRADING POST THE,4426 NYS RTE 30 #,LAKE CLEAR,NY,12945,09F,"Cleaning or sanitizing equipment, materials or agents are not available, suitable or properly stored","4426 NYS RTE
LAKE CLEAR, NY 12945
"
Franklin,06/19/2017,PAK-MAN ENTERPRISES INC,TRADING POST THE,4426 NYS RTE 30 #,LAKE CLEAR,NY,12945,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","4426 NYS RTE
LAKE CLEAR, NY 12945
"
Franklin,06/19/2017,PAK-MAN ENTERPRISES INC,TRADING POST THE,4426 NYS RTE 30 #,LAKE CLEAR,NY,12945,12A,"Food not stored, conveyed or displayed in a manner that prevents contamination including marginal temperature deficiencies","4426 NYS RTE
LAKE CLEAR, NY 12945
"
Franklin,06/19/2017,PAK-MAN ENTERPRISES INC,TRADING POST THE,4426 NYS RTE 30 #,LAKE CLEAR,NY,12945,12B,"Food or ingredient storage containers are not clean, covered or properly identified","4426 NYS RTE
LAKE CLEAR, NY 12945
"
Franklin,06/19/2017,PAK-MAN ENTERPRISES INC,TRADING POST THE,4426 NYS RTE 30 #,LAKE CLEAR,NY,12945,15A,"Food contact equipment, utensils or conveyances: contact surfaces unclean or not properly sanitized","4426 NYS RTE
LAKE CLEAR, NY 12945
"
Fulton,09/15/2016,ROGERS FAMILY ORCHARDS INC,ROGERS FAMILY ORCHARDS,260 CTY HWY 131,JOHNSTOWN,NY,12095,05B,Critical Processing or Salvaging Parameters are not met,"260 CTY HWY
JOHNSTOWN, NY 12095
"
Fulton,09/15/2016,ROGERS FAMILY ORCHARDS INC,ROGERS FAMILY ORCHARDS,260 CTY HWY 131,JOHNSTOWN,NY,12095,09D,"Plumbing or sinks not properly sized, installed or maintained: equipment or floors not properly drained","260 CTY HWY
JOHNSTOWN, NY 12095
"
Fulton,09/15/2016,ROGERS FAMILY ORCHARDS INC,ROGERS FAMILY ORCHARDS,260 CTY HWY 131,JOHNSTOWN,NY,12095,10C,"Interior floors, walls, ceilings or fixtures are not of suitable construction, clean or well maintained","260 CTY HWY
JOHNSTOWN, NY 12095
"
Fulton,09/15/2016,ROGERS FAMILY ORCHARDS INC,ROGERS FAMILY ORCHARDS,260 CTY HWY 131,JOHNSTOWN,NY,12095,14B,"Insect, birds or other vermin observed within the establishment (not likely to result in product contamination)","260 CTY HWY
JOHNSTOWN, NY 12095
"
Greene,05/16/2017,CVS ALBANY LLC,CVS PHARMACY 05036,7600 RTE 32# PO BOX 140,CAIRO,NY,12413,02A,Rodent defiled foods or ingredients,"7600 RTE
CAIRO, NY 12413
"
